Lon	O-H-1153	O-P-1159	I-P-1205	I-H-1158	I-H-1204
315.34	405.875	13.6	-5.861	8.897	9.732
315.51	403.656	10.579	-9.96	5.689	10.788
315.67	418.369	16.6	-7.214	5.655	14.27
315.84	428.877	16.635	-7.068	6.031	14.251
316	450.013	19.101	-9.108	4.2	10.573
316.17	471.388	17.388	-10.404	0.805	6.959
316.34	502.998	18.416	-10.013	-2.331	9.185
316.5	525.92	16.359	-9.41	-4.091	7.689
316.67	541.476	16.981	-9.469	-7.063	0.014
316.83	552.35	14.482	-7.771	-3.067	2.339
317	557.962	18.391	-6.521	1.072	6.347
317.17	547.675	12.664	-2.995	0.522	4.873
317.33	545.044	14.484	2.363	1.165	9.165
317.5	535.116	13.863	2.336	3.171	7.215
317.66	526.36	12.371	-1.552	-1.08	1.909
317.83	529.985	17.523	1.336	6.523	9.732
317.99	536.24	19.35	1.339	6.866	9.987
318.16	540.176	15.231	-2.362	0.319	4.715
318.33	556.738	21.826	-1.899	3.365	8.815
318.49	561.127	19.742	-5.939	4.347	4.962
318.66	571.082	19.642	-4.522	1.928	8.126
318.82	579.675	15.741	-1.941	8.125	12.697
318.99	592.271	15.732	-3.158	6.282	11.556
319.15	602.764	18.523	0.226	8.49	15.479
319.32	624.052	20.041	3.92	10.855	18.151
319.49	635.587	19.697	3.026	11.422	17.048
319.65	658.673	21.3	5.926	15.146	21.08
319.82	672.647	21.724	6.505	14.373	18.285
319.98	690.537	30.35	14.625	17.339	23.273
320.15	686.467	25.215	11.226	15.841	22.786
320.31	686.295	26.987	8.449	13.713	21.713
320.48	677.204	28.303	7.94	18.753	21.83
320.65	674.249	30.985	8.579	19.469	23.908
320.81	663.758	29.45	4.033	15.813	21.527
320.98	659.935	26.957	2.309	18.254	19.089
321.14	656.723	20.877	-7.354	11.723	14.624
321.31	668.223	25.795	-0.172	17.619	20.608
321.47	663.897	20.535	-0.575	15.557	17.755
321.64	661.494	17.835	-5.89	8.341	16.165
321.81	662.968	17.759	-2.735	12.825	19.902
321.97	662.668	18.482	1.526	12.987	21.119
322.14	656.093	20.687	4.28	12.324	23.181
322.3	646.915	20.047	5.464	14.42	22.244
322.47	638.142	15.57	1.054	9.45	14.548
322.63	650.079	18.463	2.694	10.683	17.496
322.8	664.297	21.99	9.671	15.166	19.078
322.97	673.372	20.306	1.636	8.13	13.932
323.13	687.05	14.457	-1.554	4.775	9.215
323.3	717.721	21.534	0.886	9.886	14.458
323.46	743.923	24.033	5.648	8.637	12.637
323.63	765.182	22.49	4.787	7.237	9.303
323.79	781.903	21.485	5.606	11.189	9.518
323.96	794.619	17.421	-1.469	7.487	6.124
324.12	811.971	18.367	6.576	13.125	10.883
324.29	830.585	29.079	9.574	19.321	18.002
324.46	836.915	19.442	3.431	13.673	11.959
324.62	855.498	17.289	-0.854	14.872	12.674
324.79	879.615	20.385	-1.956	14	14.396
324.95	909.433	20.279	-4.105	9.818	11.752
325.12	944.344	26.828	4.443	15.168	22.201
325.28	986.205	29.534	8.446	19.38	24.919
325.45	1023.043	25.614	9.867	21.471	23.053
325.61	1057.517	32.363	18.704	28.891	29.594
325.78	1078.152	29.735	18.119	26.647	26.911
325.95	1096.627	29.759	21.462	27.253	29.012
326.11	1110.886	33.502	27.688	34.985	35.557
326.28	1116.41	30.421	24.322	34.377	28.487
326.44	1113.352	28.319	22.023	34.506	26.33
326.61	1104.08	27.585	17.486	31.014	24.816
326.77	1093.948	19.684	10.97	25.035	18.266
326.94	1096.211	26.31	15.684	28.992	22.398
327.1	1098.089	31.166	21.396	36.869	28.913
327.27	1083.054	22.427	12.636	28.098	21.856
327.43	1082.95	25.609	18.829	31.708	29.642
327.6	1081.956	24.231	15.714	27.395	30.736
327.77	1087.11	24.495	20.791	30.11	34.154
327.93	1099.069	30.883	21.971	31.674	36.905
328.1	1106.709	25.94	16.742	27.995	33.533
328.26	1122.02	23.284	10.768	24.471	25.79
328.43	1154.165	26.583	12.857	28.462	27.363
328.59	1187.237	24.193	8.819	24.808	20.984
328.76	1227.409	25.805	12.3	25.091	18.585
328.92	1267.934	27.528	13.033	26.824	21.462
329.09	1296.423	26.335	12.434	29.138	22.017
329.25	1320.658	34.185	17.537	31.987	26.317
329.42	1338.678	38.305	24.316	37.634	35.744
329.58	1346.289	47.597	31.784	40.476	40.476
329.75	1331.983	46.158	31.51	41.664	39.334
329.92	1309.389	46.301	28.906	40.939	38.477
330.08	1280.32	43.859	24.595	35.936	32.947
330.25	1267.662	45.453	26.3	35.168	33.19
330.41	1252.686	39.345	21.4	32.125	28.697
330.58	1240.105	36.49	15.182	25.896	24.05
330.74	1227.997	28.15	6.469	20.931	19.568
330.91	1232.889	29.317	7.13	18.9	22.24
331.07	1234.063	25.162	3.305	15.481	21.327
331.24	1248.213	26.268	7.202	16.598	22.356
331.4	1260.846	29.615	9.604	21.604	26.835
331.57	1270.719	32.335	10.631	25.653	30.796
331.73	1273.774	32.346	13.829	30.444	31.236
331.9	1284.864	41.469	21.26	34.875	36.282
332.06	1284.904	43.739	21.706	36.563	37.135
332.23	1290.747	50.385	24.989	41.066	37.33
332.39	1290.097	52.141	25.141	42.415	37.272
332.56	1280.193	49.193	28.105	37.896	33.324
332.72	1274.652	48.432	31.806	36.553	34.136
332.89	1276.179	49.882	31.388	37.179	35.333
333.06	1270.394	42.592	29.526	35.636	31.328
333.22	1282.115	46.324	34.598	40.565	37.225
333.39	1293.722	46.272	37.689	41.557	42.788
333.55	1314.703	52.275	40.022	48.934	50.253
333.72	1329.262	54.032	38.152	53.185	53.317
333.88	1354.11	61.528	42.11	61.044	59.418
334.05	1374.099	65.77	47.956	62.901	62.989
334.21	1404.036	72.333	48.959	66.135	64.772
334.38	1417.3	72.839	48.74	67.289	61.267
334.54	1431.727	76.42	51.156	68.991	62.53
334.71	1422.365	74.387	53.585	64.706	61.629
334.87	1425.623	80.909	58.634	65.744	70.096
335.04	1406.985	79.842	57.765	64.578	68.446
335.2	1385.407	80.21	54.638	65.045	66.012
335.37	1348.239	78.679	55.943	65.657	69.174
335.53	1319.091	78.245	57.817	61.718	71.388
335.7	1276.126	75.4	52.928	58.95	67.126
335.86	1261.175	80.065	51.68	62.614	66.351
336.03	1238.586	75.487	47.784	61.454	60.4
336.19	1232.764	78.291	47.269	57.148	61.896
336.36	1236.856	73.45	48.428	56.648	64.428
336.52	1251.55	77.869	48.517	58.22	67.056
336.69	1264.022	82.682	51.814	66.759	70.363
336.85	1297.128	86.128	58.755	73.557	76.678
337.02	1320.446	89.831	62.172	75.666	81.908
337.18	1355.158	94.663	66.147	75.454	83.147
337.35	1385.036	94.509	69.795	84.696	85.091
337.51	1411.801	102.691	73.252	87.131	86.735
337.68	1435.344	101.344	73.552	88.849	85.245
337.84	1459.996	104.644	73.71	87.193	83.281
338.01	1477.804	107.804	74.782	88.233	85.024
338.17	1495.431	107.245	77.19	91.904	87.508
338.34	1506.913	109.177	80.199	101.254	93.342
338.5	1520.658	114.141	83.075	102.273	96.031
338.67	1539.402	119.292	87.106	108.644	101.435
338.83	1566.3	128.223	94.3	110.729	106.245
339	1593.767	133.306	100.328	123.492	117.031
339.16	1631.353	143.474	107.485	132.178	126.288
339.33	1661.279	149.081	113.597	134.169	129.817
339.49	1687.318	156.802	118.043	138.12	132.582
339.66	1706.629	159.618	120.706	138.376	133.365
339.82	1720.048	167.685	129.015	145.092	137.751
339.99	1720.342	173.991	135.914	158.639	149.188
340.15	1714.643	179.028	136.05	157.621	148.742
340.32	1686.559	178.317	137.691	155.449	144.943
340.48	1669.644	181.897	134.963	157.193	142.073
340.65	1657.657	188.052	140.744	161.14	149.36
340.81	1659.21	192.474	145.32	168.781	154.364
340.98	1653.661	189.463	140.792	163.562	153.056
341.14	1665.423	192.313	143.621	162.555	153.236
341.31	1682.262	191.515	144.867	163.416	157.131
341.47	1712	198.538	147.692	174.582	166.274
341.64	1740.888	203.679	153.69	181.206	175.14
