Lon	O-P-1210	O-H-1209	I-P-1220	I-H-1212	I-P-1213	I-H-1219
315.17	400.922	443.12	10.702	2.241	3.713	1.175
315.34	406.677	443.513	15.787	6.908	6.425	4.139
315.51	404.733	441.348	10.996	1.084	6.689	1.733
315.67	414.336	451.171	14.742	7.973	8.984	7.182
315.84	425.295	470.218	14.459	5.075	8.965	4.448
316	445.013	492.881	16.496	4.716	9.859	4.804
316.17	469.827	518.355	12.97	3.498	10.069	3.311
316.34	500.504	549.251	11.196	10.097	14.097	4.91
316.5	517.898	576.887	8.997	7.041	13.524	3.118
316.67	534.102	596.608	6.992	6.245	8.619	3.871
316.83	545.031	612.9	7.339	5.251	12.086	2.691
317	552.479	613.885	7.303	8.138	10.38	4.577
317.17	548.62	610.115	5.566	6.555	10.049	2.895
317.33	545.802	605.187	7.66	8.671	10.736	4.802
317.5	534.347	598.566	7.336	6.522	9.27	2.292
317.66	527.25	587.382	6.338	5.855	8.58	-1.838
317.83	528.732	589.259	13.325	8.644	13.853	3.007
317.99	535.064	590.141	14.108	10.459	11.822	9.888
318.16	537.341	599.495	11.781	5.473	10.067	5.286
318.33	552.09	612.046	14.299	11.09	11.09	9.771
318.49	560.49	623.391	13.522	6.819	7.544	6.105
318.66	575.445	631.972	15.016	6.928	7.631	6.005
318.82	581.982	642.949	12.774	5.323	8.862	7.993
318.99	592.545	653.073	11.545	4.776	6.183	6.315
319.15	605.16	673.336	12.259	8.501	9.27	2.468
319.32	624.371	688.547	14.844	15.679	11.283	6.14
319.49	638.422	709.587	13.345	14.202	9.565	4.081
319.65	658.596	728.179	15.047	16.497	12.893	8.541
319.82	671.043	742.428	11.153	14.032	11.021	9.23
319.98	691.339	762.328	19.438	21.065	18.911	17.592
320.15	692.731	768.467	15.566	20.467	20.094	13.291
320.31	690.57	765.295	17.262	19.152	22.581	12.735
320.48	689.138	763.16	17.775	17.841	24.896	12.424
320.65	684.018	755.315	21.26	17.788	29.48	15.766
320.81	671.868	745.846	21.428	15.692	30.879	13.571
320.98	668.65	741.792	21.979	16.441	29.188	12.792
321.14	663.558	735.471	15.668	10.503	20.591	2.888
321.31	672.674	740.454	22.971	18.355	23.234	11.586
321.47	669.59	739.963	18.095	13.238	18.667	9.447
321.64	662.165	732.494	18.747	13.077	14.176	9.472
321.81	661.144	733.364	20.375	15.166	15.276	11.023
321.97	660.394	732.086	20.712	18.119	14.471	11.569
322.14	653.83	727.896	22.115	18.005	19.258	14.038
322.3	646.662	718.047	23.64	20.299	19.244	15.42
322.47	639.175	708.801	19.812	13.505	16.032	10.021
322.63	648.112	711.584	26.408	19.156	17.617	14.496
322.8	663.001	729.243	27.33	19.66	23.638	14.726
322.97	672.108	735.888	22.713	16.383	17.262	10.053
323.13	687.468	751.248	17.336	10.413	13.468	3.676
323.3	714.963	779.359	23.37	15.985	15.37	6.798
323.46	735.725	804.692	24.143	14.934	16.143	9.912
323.63	754.732	827.171	18.039	14.391	13.292	10.039
323.79	770.277	846.936	15.178	13.266	15.266	9.123
323.96	784.344	856.696	13.981	9.542	9.805	6.86
324.12	802.455	877.488	17.026	12.301	16.675	10.795
324.29	815.607	899.475	25.288	22.123	24.409	19.574
324.46	824.234	911.442	19.069	13.201	19.069	12.662
324.62	843.377	931.157	18.026	15.432	17.41	12.048
324.79	868.297	959.901	16.626	15.857	18.165	11.011
324.95	899.115	992.433	16.84	13.104	13.235	11.257
325.12	936.586	1037.948	20.652	17.553	19.201	18.113
325.28	975.271	1076.282	24.556	23.589	20.776	22.49
325.45	1013.746	1112.911	22.032	21.658	19.79	22.966
325.61	1050.627	1151.067	27.21	34.638	27.561	29.275
325.78	1074.482	1179.889	24.966	30.878	29.889	23.35
325.95	1096.33	1196.199	30.231	30.979	31.77	24.737
326.11	1111.787	1212.754	35.589	38.205	39.106	27.161
326.28	1112.509	1213.124	30.717	39.553	36.432	26.454
326.44	1111.221	1215.66	28.825	39.484	39.462	26.155
326.61	1103.695	1204.618	27.53	37.684	35.706	22.695
326.77	1089.97	1193.794	20.365	28.959	26.563	16.112
326.94	1088.178	1190.244	25.816	33.816	27.31	20.541
327.1	1084.133	1191.869	29.21	36.924	33.473	22.891
327.27	1066.361	1173.526	21.449	29.889	24.878	16.263
327.43	1061.741	1173.258	29.104	32.774	32.269	19.928
327.6	1053.22	1165.351	30.373	30.505	29.055	16.307
327.77	1057.769	1171.791	32.912	30.604	33.22	19.78
